"pred1","pred2","pred3","pred4","pred5","pred6","pred7","pred8","pred9","pred10","resp"
2011,2,FALSE,53,195,0.31547619,0.284153005,0.599629196,"13.12236338",TRUE,FALSE
2007,6,TRUE,244,704,0.391025641,0.345323741,0.736349382,"15.73902902",FALSE,FALSE
2010,3,FALSE,222,621,0.402173913,0.324149109,0.726323022,"13.11291892",TRUE,FALSE
2008,5,TRUE,356,692,0.595317726,0.353550296,0.948868022,"15.77716905",FALSE,FALSE
2009,4,TRUE,288,644,0.514285714,0.303317536,0.81760325,"15.43324714",TRUE,FALSE
2005,8,FALSE,119,403,0.346938776,0.277078086,0.624016861,"15.68731273",FALSE,FALSE
2007,6,FALSE,23,81,0.310810811,0.275,0.585810811,"13.27078338",FALSE,FALSE
2009,4,FALSE,30,151,0.220588235,0.258503401,0.479091637,"13.34550693",TRUE,FALSE
2008,5,TRUE,313,688,0.509771987,0.350073855,0.859845842,"15.95557672",FALSE,FALSE
2003,10,FALSE,35,154,0.244755245,0.228187919,0.472943164,"15.68731273",FALSE,FALSE
2008,5,TRUE,235,619,0.423423423,0.326229508,0.749652932,"15.33063779",FALSE,FALSE
2007,6,TRUE,237,505,0.516339869,0.382765531,0.8991054,"15.60727003",FALSE,FALSE
2003,10,TRUE,377,714,0.606109325,0.360283688,0.966393013,"16.860033",FALSE,TRUE
2012,1,FALSE,93,244,0.418918919,0.312236287,0.731155206,"13.08331065",TRUE,FALSE
1998,15,FALSE,42,156,0.28,0.207792208,0.487792208,"13.81551056",FALSE,FALSE
2007,6,FALSE,165,521,0.361050328,0.3307393,0.691789628,"14.96291301",FALSE,FALSE
2012,1,FALSE,52,192,0.298850575,0.308108108,0.606958683,"13.08777193",TRUE,FALSE
2006,7,TRUE,345,707,0.550239234,0.353868195,0.904107429,"16.45456789",FALSE,TRUE
2012,1,FALSE,137,342,0.462837838,0.358433735,0.821271573,"13.08154138",TRUE,TRUE
2012,1,FALSE,56,190,0.341463415,0.295698925,0.637162339,"13.09970869",TRUE,FALSE
2009,4,FALSE,96,326,0.321070234,0.279365079,0.600435313,"14.13940401",TRUE,FALSE
2012,1,FALSE,103,297,0.40077821,0.327586207,0.728364417,"13.0939639",TRUE,TRUE
2011,2,TRUE,278,696,0.430340557,0.311499272,0.741839829,"13.24811458",TRUE,FALSE
2006,7,FALSE,68,186,0.409638554,0.327868852,0.737507407,"13.9552725",FALSE,FALSE
2012,1,FALSE,246,545,0.50513347,0.336448598,0.841582068,"16.01273514",TRUE,FALSE
2003,10,FALSE,44,170,0.278481013,0.224242424,0.502723437,"14.22097567",FALSE,FALSE
1999,14,FALSE,138,316,0.496402878,0.337620579,0.834023456,"13.71015004",FALSE,FALSE
2008,5,FALSE,264,686,0.441471572,0.360655738,0.80212731,"15.40474576",FALSE,FALSE
2012,1,FALSE,55,215,0.27638191,0.260465116,0.536847026,"13.08258251",TRUE,FALSE
2010,3,FALSE,17,106,0.182795699,0.203883495,0.386679194,"13.12236338",TRUE,FALSE
2010,3,FALSE,223,446,0.530952381,0.324263039,0.85521542,"13.08362255",TRUE,FALSE
2012,1,FALSE,21,88,0.276315789,0.290697674,0.567013464,"13.08154138",TRUE,FALSE
2012,1,FALSE,33,116,0.317307692,0.339130435,0.656438127,"13.0867362",TRUE,FALSE
2012,1,FALSE,224,600,0.399286988,0.285472973,0.68475996,"13.08154138",TRUE,FALSE
2010,3,FALSE,245,515,0.52238806,0.355029586,0.877417646,"13.11231304",TRUE,TRUE
2012,1,FALSE,152,482,0.349425287,0.284810127,0.634235414,"13.08362255",TRUE,FALSE
2003,10,FALSE,56,125,0.478632479,0.3,0.778632479,"16.82894237",FALSE,FALSE
2004,9,FALSE,190,508,0.417582418,0.326,0.743582418,"15.60727003",FALSE,FALSE
2007,6,FALSE,269,644,0.45982906,0.311811024,0.771640083,"15.64809202",FALSE,TRUE
2012,1,FALSE,46,131,0.365079365,0.271317829,0.636397195,"13.08362255",TRUE,FALSE
2012,1,FALSE,24,110,0.24742268,0.23364486,0.48106754,"13.08632161",TRUE,FALSE
2011,2,FALSE,240,587,0.462427746,0.301886792,0.764314538,"13.13565466",TRUE,FALSE
2008,5,FALSE,169,490,0.378076063,0.294363257,0.672439319,"14.82711147",FALSE,FALSE
2007,6,FALSE,215,588,0.410305344,0.332752613,0.743057957,"13.11231304",FALSE,FALSE
2005,8,FALSE,204,583,0.403162055,0.339788732,0.742950788,"15.26242954",FALSE,FALSE
2006,7,FALSE,157,382,0.451149425,0.344,0.795149425,"13.96823164",FALSE,FALSE
2002,11,FALSE,21,101,0.247058824,0.303030303,0.550089127,"13.59236701",FALSE,FALSE
2011,2,FALSE,121,429,0.323529412,0.287439614,0.610969025,"13.11231304",TRUE,FALSE
2010,3,TRUE,262,548,0.510721248,0.329044118,0.839765365,"13.14705599",TRUE,FALSE
2006,7,FALSE,36,119,0.333333333,0.271186441,0.604519774,"14.56928236",FALSE,FALSE
2012,1,FALSE,153,346,0.487261146,0.359882006,0.847143152,"13.09190417",TRUE,FALSE
2005,8,FALSE,123,347,0.385579937,0.295857988,0.681437925,"14.15198279",FALSE,FALSE
2011,2,FALSE,35,135,0.282258065,0.23255814,0.514816204,"13.08984019",TRUE,FALSE
2012,1,FALSE,109,294,0.397810219,0.277777778,0.675587997,"13.08154138",TRUE,FALSE
2006,7,FALSE,223,533,0.460743802,0.303088803,0.763832605,"14.91412285",FALSE,FALSE
2011,2,FALSE,66,192,0.370786517,0.229946524,0.600733041,"13.09704557",TRUE,FALSE
2007,6,FALSE,100,329,0.348432056,0.303680982,0.652113037,"15.8632034",FALSE,FALSE
2011,2,FALSE,156,459,0.389027431,0.325221239,0.71424867,"13.11698494",TRUE,FALSE
2008,5,FALSE,90,265,0.387931034,0.283524904,0.671455939,"13.12236338",FALSE,FALSE
2002,11,TRUE,252,652,0.467532468,0.327666151,0.795198619,"16.45456789",FALSE,FALSE
2011,2,FALSE,175,516,0.413711584,0.336673347,0.750384931,"13.10216067",TRUE,FALSE
2003,10,FALSE,151,464,0.363855422,0.323076923,0.686932345,"14.73180129",FALSE,FALSE
2008,5,FALSE,112,323,0.369636964,0.313664596,0.68330156,"15.90118265",FALSE,FALSE
2006,7,FALSE,302,656,0.557195572,0.351097179,0.908292751,"15.06827353",FALSE,TRUE
2010,3,FALSE,236,650,0.390082645,0.318611987,0.708694632,"13.16062209",TRUE,FALSE
2012,1,FALSE,34,146,0.259541985,0.274647887,0.534189872,"13.08154138",TRUE,FALSE
2008,5,FALSE,192,609,0.344086022,0.294612795,0.638698816,"15.42494847",FALSE,FALSE
2011,2,FALSE,239,662,0.402356902,0.293478261,0.695835163,"13.13429195",TRUE,FALSE
2007,6,FALSE,256,624,0.460431655,0.330065359,0.790497014,"16.20885001",FALSE,FALSE
2006,7,TRUE,307,708,0.528399312,0.364035088,0.892434399,"16.95100477",FALSE,TRUE
2004,9,FALSE,45,194,0.271084337,0.264864865,0.535949202,"16.06680236",FALSE,FALSE
2012,1,FALSE,55,166,0.359477124,0.245283019,0.604760143,"13.08154138",TRUE,FALSE
2007,6,FALSE,91,299,0.328519856,0.235494881,0.564014736,"13.61094339",FALSE,FALSE
2012,1,FALSE,56,153,0.411764706,0.277027027,0.688791733,"13.08777193",TRUE,FALSE
2012,1,FALSE,123,350,0.39047619,0.332361516,0.722837707,"13.0844538",TRUE,FALSE
2009,4,FALSE,215,531,0.473568282,0.388145315,0.861713597,"14.66992589",TRUE,FALSE
2009,4,FALSE,74,207,0.385416667,0.287804878,0.673221545,"14.24566828",TRUE,FALSE
2006,7,FALSE,212,612,0.377896613,0.259933775,0.637830388,"15.72505306",FALSE,FALSE
2010,3,FALSE,83,207,0.432291667,0.263414634,0.695706301,"13.08154138",TRUE,FALSE
2011,2,FALSE,246,624,0.455555556,0.328947368,0.784502924,"13.19002203",TRUE,TRUE
2010,3,TRUE,234,569,0.467065868,0.360714286,0.827780154,"13.13823673",TRUE,FALSE
2008,5,FALSE,8,51,0.195121951,0.306122449,0.5012444,"13.12236338",FALSE,FALSE
2000,13,TRUE,165,532,0.34591195,0.323754789,0.669666739,"15.68731273",FALSE,FALSE
2012,1,FALSE,69,200,0.363157895,0.253807107,0.616965001,"13.08154138",TRUE,FALSE
2012,1,FALSE,24,75,0.347826087,0.287671233,0.63549732,"13.08362255",TRUE,FALSE
2009,4,FALSE,68,210,0.35978836,0.315,0.67478836,"13.7824707",TRUE,FALSE
1995,18,FALSE,27,115,0.303370787,0.342342342,0.645713129,"13.81551056",FALSE,FALSE
2012,1,FALSE,252,591,0.490272374,0.351211073,0.841483446,"13.08569939",TRUE,TRUE
2006,7,FALSE,137,335,0.491039427,0.353846154,0.84488558,"13.81551056",FALSE,FALSE
2008,5,FALSE,192,453,0.462650602,0.291284404,0.753935006,"14.48972973",FALSE,TRUE
2005,8,FALSE,291,689,0.46263911,0.332840237,0.795479346,"16.90003829",FALSE,FALSE
1998,15,FALSE,37,89,0.456790123,0.310344828,0.767134951,"15.06827353",FALSE,FALSE
2010,3,TRUE,264,590,0.50965251,0.345299145,0.854951655,"15.50718649",TRUE,TRUE
2012,1,FALSE,67,219,0.326829268,0.279816514,0.606645782,"13.08154138",TRUE,FALSE
2007,6,FALSE,292,724,0.45482866,0.360724234,0.815552894,"15.37890453",FALSE,TRUE
2012,1,FALSE,85,330,0.280528053,0.275541796,0.556069848,"13.09190417",TRUE,FALSE
2006,7,TRUE,293,688,0.491610738,0.30962963,0.801240368,"16.11809565",FALSE,FALSE
2011,2,FALSE,122,331,0.4,0.270769231,0.670769231,"13.08777193",TRUE,FALSE
2007,6,FALSE,63,163,0.42,0.301886792,0.721886792,"15.57552133",FALSE,FALSE
2012,1,FALSE,120,324,0.418118467,0.304075235,0.722193702,"13.09519771",TRUE,FALSE
2007,6,FALSE,76,279,0.293436293,0.267148014,0.560584308,"13.65299163",FALSE,FALSE
2003,10,FALSE,96,265,0.438356164,0.316205534,0.754561698,"16.38045992",FALSE,FALSE
2012,1,FALSE,18,74,0.257142857,0.260273973,0.51741683,"13.08154138",TRUE,FALSE
2000,13,FALSE,92,269,0.386554622,0.326996198,0.71355082,"14.62644077",FALSE,FALSE
2007,6,FALSE,190,398,0.50397878,0.297979798,0.801958578,"13.91082074",FALSE,FALSE
2007,6,TRUE,324,649,0.576512456,0.325984252,0.902496707,"16.54009006",FALSE,FALSE
2009,4,FALSE,107,384,0.337539432,0.315508021,0.653047454,"14.07787482",TRUE,FALSE
2008,5,FALSE,98,318,0.341463415,0.308917197,0.650380612,"13.94214321",FALSE,FALSE
2005,8,FALSE,258,717,0.389140271,0.272340426,0.661480697,"15.81924019",FALSE,TRUE
2004,9,FALSE,9,48,0.204545455,0.170212766,0.374758221,"13.59236701",FALSE,FALSE
2006,7,FALSE,285,627,0.507117438,0.312602291,0.819719729,"16.04910274",FALSE,FALSE
2011,2,FALSE,29,121,0.254385965,0.198347107,0.452733072,"13.08154138",TRUE,FALSE
2009,4,FALSE,301,701,0.498344371,0.371387283,0.869731654,"15.06110504",TRUE,FALSE
2011,2,FALSE,139,375,0.400576369,0.301369863,0.701946232,"13.11231304",TRUE,FALSE
1997,16,FALSE,96,284,0.4,0.339285714,0.739285714,"15.61969255",FALSE,FALSE
1999,14,FALSE,65,197,0.35326087,0.235602094,0.588862964,"14.97866137",FALSE,FALSE
2011,2,FALSE,79,253,0.351111111,0.295081967,0.646193078,"13.08569939",TRUE,FALSE
2010,3,FALSE,281,651,0.478705281,0.332817337,0.811522619,"13.24458101",TRUE,FALSE
2006,7,FALSE,318,675,0.522167488,0.342814371,0.864981859,"15.52025865",FALSE,FALSE
2002,11,FALSE,41,149,0.310606061,0.256756757,0.567362817,"14.28551419",FALSE,FALSE
2005,8,TRUE,298,691,0.497495826,0.367799114,0.86529494,"16.60620697",FALSE,FALSE
2012,1,FALSE,192,602,0.358878505,0.295798319,0.654676824,"13.12735092",TRUE,FALSE
2006,7,FALSE,110,299,0.423076923,0.256849315,0.679926238,"16.81124283",FALSE,FALSE
2003,10,FALSE,81,284,0.311538462,0.256227758,0.56776622,"15.52025865",FALSE,FALSE
2003,10,FALSE,22,96,0.282051282,0.315789474,0.597840756,"16.11809565",FALSE,FALSE
2009,4,FALSE,50,227,0.245098039,0.20361991,0.448717949,"14.50865774",TRUE,FALSE
1999,14,FALSE,241,585,0.451310861,0.356020942,0.807331804,"16.73328129",FALSE,TRUE
2007,6,FALSE,88,253,0.398190045,0.328,0.726190045,"15.08245816",FALSE,FALSE
1998,15,FALSE,174,430,0.453125,0.287735849,0.740860849,"13.91082074",FALSE,FALSE
2003,10,FALSE,232,588,0.418772563,0.300869565,0.719642128,"15.20180492",FALSE,FALSE
2001,12,FALSE,110,312,0.38869258,0.282467532,0.671160112,"15.52025865",FALSE,FALSE
2009,4,FALSE,65,177,0.427631579,0.291666667,0.719298246,"13.17115354",TRUE,FALSE
2002,11,FALSE,54,169,0.333333333,0.248484848,0.581818182,"13.68197917",FALSE,FALSE
2005,8,FALSE,91,319,0.314878893,0.315286624,0.630165517,"15.1934365",FALSE,FALSE
2010,3,FALSE,260,617,0.478821363,0.37704918,0.855870543,"13.12236338",TRUE,FALSE
2011,2,FALSE,134,362,0.455782313,0.387464387,0.8432467,"13.112717",TRUE,FALSE
2011,2,FALSE,177,505,0.399548533,0.345833333,0.745381866,"13.13033155",TRUE,FALSE
2012,1,FALSE,196,564,0.388118812,0.30615942,0.694278232,"13.09581404",TRUE,FALSE
1996,17,TRUE,293,741,0.428989751,0.356652949,0.7856427,"16.57103984",FALSE,FALSE
2010,3,FALSE,220,530,0.450819672,0.318618042,0.769437714,"13.11231304",TRUE,FALSE
2011,2,FALSE,104,331,0.35016835,0.299065421,0.649233771,"13.09416964",TRUE,FALSE
2007,6,FALSE,185,584,0.364891519,0.30017452,0.665066039,"15.66789465",FALSE,FALSE
2002,11,FALSE,34,102,0.390804598,0.295918367,0.686722965,"13.59236701",FALSE,FALSE
2004,9,FALSE,107,289,0.397769517,0.318021201,0.715790718,"13.9552725",FALSE,FALSE
2008,5,TRUE,327,697,0.50462963,0.322580645,0.827210275,"15.63196264",FALSE,TRUE
1996,17,FALSE,95,270,0.407725322,0.278625954,0.686351276,"14.50865774",FALSE,FALSE
1995,18,TRUE,176,454,0.454780362,0.36,0.814780362,"16.45456789",FALSE,FALSE
2010,3,FALSE,245,517,0.515789474,0.315686275,0.831475748,"14.62644077",TRUE,FALSE
2010,3,FALSE,171,466,0.428571429,0.320960699,0.749532127,"13.12136288",TRUE,FALSE
2011,2,FALSE,51,139,0.3984375,0.289855072,0.688292572,"13.0867362",TRUE,FALSE
2012,1,FALSE,25,103,0.260416667,0.274509804,0.534926471,"13.08777193",TRUE,FALSE
2012,1,FALSE,21,115,0.201923077,0.25,0.451923077,"13.34550693",TRUE,FALSE
2003,10,FALSE,54,176,0.367346939,0.335294118,0.702641056,"13.30468493",FALSE,FALSE
2007,6,TRUE,217,457,0.538461538,0.341463415,0.879924953,"16.14278826",FALSE,FALSE
2007,6,FALSE,220,595,0.4,0.320689655,0.720689655,"15.39448926",FALSE,FALSE
1999,14,FALSE,60,202,0.357142857,0.34375,0.700892857,"13.59236701",FALSE,FALSE
2007,6,FALSE,169,418,0.438961039,0.364303178,0.803264217,"14.23750497",FALSE,FALSE
2006,7,TRUE,277,731,0.422900763,0.318881119,0.741781882,"15.78959158",FALSE,FALSE
2012,1,FALSE,224,674,0.379018613,0.328787879,0.707806491,"13.08590684",TRUE,TRUE
1998,15,TRUE,259,602,0.485928705,0.355817875,0.841746581,"16.30041721",FALSE,FALSE
2006,7,FALSE,154,501,0.332613391,0.267346939,0.59996033,"14.91412285",FALSE,FALSE
1998,15,FALSE,51,157,0.356643357,0.303225806,0.659869163,"14.03865411",FALSE,FALSE
2009,4,FALSE,71,210,0.415204678,0.344497608,0.759702286,"13.45883561",TRUE,FALSE
2006,7,FALSE,256,578,0.505928854,0.312280702,0.818209556,"15.83041358",FALSE,FALSE
2012,1,TRUE,153,383,0.45,0.32460733,0.77460733,"13.0867362",TRUE,FALSE
2004,9,FALSE,65,191,0.373563218,0.335106383,0.708669601,"13.81551056",FALSE,FALSE
2004,9,FALSE,291,654,0.509632224,0.333333333,0.842965558,"15.8949521",FALSE,FALSE
2012,1,FALSE,200,536,0.4048583,0.318785579,0.723643878,"13.0867362",TRUE,FALSE
1999,14,FALSE,201,619,0.365454545,0.325163399,0.690617944,"16.75994954",FALSE,FALSE
2012,1,FALSE,41,126,0.353448276,0.28,0.633448276,"13.08424606",TRUE,FALSE
2009,4,FALSE,50,193,0.287356322,0.248648649,0.53600497,"13.12236338",TRUE,FALSE
2009,4,FALSE,133,354,0.414330218,0.313390313,0.727720531,"15.45450727",TRUE,FALSE
2012,1,FALSE,53,198,0.317365269,0.3125,0.629865269,"13.08466151",TRUE,FALSE
2012,1,FALSE,136,417,0.354166667,0.304455446,0.658622112,"13.08362255",TRUE,FALSE
2008,5,FALSE,146,472,0.33640553,0.275053305,0.611458835,"15.66789465",FALSE,FALSE
2009,4,FALSE,144,318,0.527472527,0.33974359,0.867216117,"15.31958795",TRUE,FALSE
2006,7,FALSE,78,224,0.366197183,0.2760181,0.642215283,"13.59236701",FALSE,FALSE
2009,4,FALSE,149,387,0.438235294,0.328981723,0.767217017,"13.9552725",TRUE,FALSE
2011,2,FALSE,162,347,0.512658228,0.359882006,0.872540234,"13.106234",TRUE,FALSE
2004,9,FALSE,224,475,0.530805687,0.331905782,0.862711469,"14.50865774",FALSE,FALSE
2006,7,FALSE,198,474,0.471428571,0.352688172,0.824116743,"16.32916662",FALSE,FALSE
2010,3,FALSE,56,235,0.287179487,0.346320346,0.633499833,"13.10562405",TRUE,FALSE
2012,1,FALSE,148,438,0.374683544,0.310344828,0.685028372,"13.08777193",TRUE,FALSE
2011,2,FALSE,29,124,0.252173913,0.18852459,0.440698503,"13.09499218",TRUE,FALSE
2007,6,FALSE,170,485,0.402843602,0.298947368,0.70179097,"15.83041358",FALSE,FALSE
2004,9,TRUE,243,651,0.44587156,0.39379845,0.839670009,"16.95100477",FALSE,TRUE
2011,2,FALSE,174,481,0.394557823,0.293501048,0.688058871,"13.11231304",TRUE,FALSE
2009,4,FALSE,177,562,0.349112426,0.300724638,0.649837064,"13.30468493",TRUE,FALSE
2006,7,FALSE,175,494,0.398633257,0.281632653,0.68026591,"16.25785759",FALSE,TRUE
2010,3,TRUE,328,686,0.55311973,0.371301775,0.924421505,"13.4706696",TRUE,TRUE
2009,4,FALSE,114,352,0.358490566,0.282420749,0.640911315,"14.7466899",TRUE,FALSE
2012,1,FALSE,106,276,0.441666667,0.311111111,0.752777778,"13.09190417",TRUE,FALSE
2006,7,FALSE,101,299,0.379699248,0.306122449,0.685821697,"14.37512635",FALSE,FALSE
2012,1,FALSE,58,188,0.351515152,0.258064516,0.609579668,"13.08154138",TRUE,FALSE
2003,10,FALSE,89,274,0.354581673,0.280442804,0.635024478,"14.22097567",FALSE,FALSE
2005,8,TRUE,253,567,0.500990099,0.36101083,0.862000929,"15.76142071",FALSE,TRUE
2012,1,FALSE,199,557,0.386407767,0.290145985,0.676553752,"13.09581404",TRUE,FALSE
2007,6,FALSE,213,579,0.438271605,0.36460177,0.802873375,"15.59046291",FALSE,FALSE
2009,4,FALSE,226,523,0.466942149,0.313953488,0.780895637,"14.9057546",TRUE,FALSE
2011,2,FALSE,22,125,0.194690265,0.225,0.419690265,"13.10216067",TRUE,FALSE
2011,2,FALSE,153,362,0.467889908,0.304225352,0.77211526,"13.10440305",TRUE,FALSE
2008,5,FALSE,89,322,0.307958478,0.28802589,0.595984367,"14.66992589",FALSE,FALSE
2005,8,FALSE,222,578,0.43960396,0.31316726,0.75277122,"16.52356076",FALSE,FALSE
2011,2,FALSE,118,336,0.398648649,0.294832827,0.693481475,"13.08154138",TRUE,FALSE
2010,3,FALSE,191,430,0.47044335,0.317535545,0.787978895,"15.06827353",TRUE,FALSE
2012,1,FALSE,232,618,0.412078153,0.282178218,0.694256371,"13.09653262",TRUE,FALSE
2009,4,FALSE,230,617,0.402802102,0.321895425,0.724697526,"13.14646264",TRUE,FALSE
2008,5,FALSE,44,130,0.379310345,0.261904762,0.641215107,"13.23569206",FALSE,FALSE
2003,10,FALSE,48,168,0.315789474,0.233532934,0.549322408,"13.45883561",FALSE,FALSE
2007,6,TRUE,165,422,0.46875,0.317191283,0.785941283,"16.05622025",FALSE,FALSE
2012,1,FALSE,11,56,0.22,0.236363636,0.456363636,"13.08777193",TRUE,FALSE
2012,1,FALSE,158,381,0.457971014,0.337765957,0.795736972,"13.08154138",TRUE,FALSE
2011,2,FALSE,25,122,0.229357798,0.230769231,0.460127029,"13.08337304",TRUE,FALSE
2004,9,FALSE,47,127,0.412280702,0.317460317,0.729741019,"13.9552725",FALSE,FALSE
2011,2,FALSE,35,100,0.393258427,0.336842105,0.730100532,"13.16886521",TRUE,FALSE
2003,10,FALSE,120,323,0.380952381,0.239130435,0.620082816,"15.1372664",FALSE,FALSE
2005,8,FALSE,24,57,0.444444444,0.327272727,0.771717172,"13.30468493",FALSE,FALSE
1998,15,TRUE,198,396,0.611111111,0.371501272,0.982612383,"16.49481829",FALSE,TRUE
2003,10,FALSE,43,111,0.447916667,0.345454545,0.793371212,"13.81551056",FALSE,FALSE
2012,1,FALSE,200,507,0.421052632,0.334669339,0.75572197,"13.08154138",TRUE,FALSE
2006,7,FALSE,266,664,0.439669421,0.329787234,0.769456656,"15.39448926",FALSE,FALSE
2012,1,FALSE,73,211,0.380208333,0.27184466,0.652052994,"13.08154138",TRUE,FALSE
2010,3,FALSE,151,434,0.392207792,0.317535545,0.709743337,"13.1263554",TRUE,FALSE
2012,1,FALSE,32,145,0.275862069,0.242857143,0.518719212,"13.08362255",TRUE,FALSE
2012,1,FALSE,55,189,0.325443787,0.277777778,0.603221565,"13.08154138",TRUE,FALSE
2007,6,FALSE,19,64,0.301587302,0.265625,0.567212302,"13.81551056",FALSE,FALSE
2007,6,FALSE,253,626,0.44937833,0.338762215,0.788140545,"15.92572376",FALSE,TRUE
2009,4,FALSE,68,226,0.320754717,0.266968326,0.587723043,"13.68197917",TRUE,FALSE
2002,11,FALSE,176,602,0.354124748,0.312286689,0.666411438,"15.79651203",FALSE,FALSE
2008,5,FALSE,262,690,0.424635332,0.311111111,0.735746443,"16.15731636",FALSE,FALSE
2010,3,FALSE,130,462,0.311004785,0.27593819,0.586942975,"13.10216067",TRUE,FALSE
2005,8,FALSE,204,588,0.384180791,0.296740995,0.680921786,"15.52025865",FALSE,TRUE
2012,1,FALSE,136,308,0.470588235,0.315789474,0.786377709,"13.52782849",TRUE,TRUE
2003,10,FALSE,249,625,0.429310345,0.309836066,0.73914641,"16.3412392",FALSE,TRUE
2001,12,FALSE,146,439,0.370558376,0.345323741,0.715882117,"13.59236701",FALSE,FALSE
2001,12,FALSE,240,525,0.501043841,0.3046875,0.805731341,"15.60727003",FALSE,FALSE
2012,1,FALSE,37,115,0.352380952,0.241071429,0.593452381,"13.08154138",TRUE,FALSE
2012,1,FALSE,192,465,0.454976303,0.296296296,0.7512726,"13.09190417",TRUE,FALSE
1998,15,FALSE,99,329,0.326732673,0.295031056,0.621763729,"15.67440923",FALSE,FALSE
2011,2,TRUE,291,617,0.549056604,0.396039604,0.945096208,"13.32937755",TRUE,TRUE
2008,5,FALSE,270,692,0.437601297,0.35745938,0.795060676,"15.37365518",FALSE,FALSE
2012,1,FALSE,140,370,0.404624277,0.274725275,0.679349552,"13.08984019",TRUE,FALSE
2001,12,FALSE,313,686,0.515650741,0.30962963,0.825280371,"16.30041721",FALSE,FALSE
2003,10,FALSE,34,148,0.272,0.305555556,0.577555556,"14.22097567",FALSE,FALSE
2007,6,FALSE,143,342,0.503521127,0.335403727,0.838924853,"15.76498577",FALSE,FALSE
2007,6,FALSE,47,144,0.34057971,0.253521127,0.594100837,"13.81551056",FALSE,FALSE
